filename,frame,id,bushnumber,rownumber,latitude,longitude,berrycount
frame0030_id0019_lat39.616912_lng-74.895000,30,19,1,1,39.616912,-74.895,120
frame0050_id0035_lat39.616917_lng-74.894994,50,35,2,1,39.616917,-74.894994,108
frame0090_id0036_lat39.616925_lng-74.894983,90,36,3,1,39.616925,-74.894983,167
frame0120_id0041_lat39.616931_lng-74.894974,120,41,4,1,39.616931,-74.894974,311
frame0160_id0042_lat39.616939_lng-74.894963,160,42,5,1,39.616939,-74.894963,122
frame0200_id0051_lat39.616947_lng-74.894951,200,51,6,1,39.616947,-74.894951,183
frame0260_id0057_lat39.616959_lng-74.894934,260,57,7,1,39.616959,-74.894934,209
frame0290_id0059_lat39.616965_lng-74.894925,290,59,8,1,39.616965,-74.894925,53
frame0320_id0061_lat39.616972_lng-74.894917,320,61,9,1,39.616972,-74.894917,238
frame0350_id0064_lat39.616978_lng-74.894909,350,64,10,1,39.616978,-74.894909,100
frame0380_id0068_lat39.616984_lng-74.894900,380,68,11,1,39.616984,-74.8949,184
frame0420_id0075_lat39.616991_lng-74.894889,420,75,12,1,39.616991,-74.894889,329
frame0460_id0082_lat39.616999_lng-74.894878,460,82,13,1,39.616999,-74.894878,147
frame0480_id0079_lat39.617004_lng-74.894872,480,79,14,1,39.617004,-74.894872,63
frame0520_id0084_lat39.617012_lng-74.894861,520,84,15,1,39.617012,-74.894861,56
frame0570_id0087_lat39.617022_lng-74.894846,570,87,16,1,39.617022,-74.894846,287
frame0600_id0088_lat39.617028_lng-74.894838,600,88,17,1,39.617028,-74.894838,128
frame0630_id0095_lat39.617035_lng-74.894829,630,95,18,1,39.617035,-74.894829,207
frame0670_id0094_lat39.617044_lng-74.894817,670,94,19,1,39.617044,-74.894817,266
frame0700_id0099_lat39.617050_lng-74.894808,700,99,20,1,39.61705,-74.894808,98
frame0740_id0108_lat39.617057_lng-74.894797,740,108,21,1,39.617057,-74.894797,120
frame0760_id0102_lat39.617062_lng-74.894790,760,102,22,1,39.617062,-74.89479,158
frame0790_id0112_lat39.617068_lng-74.894782,790,112,23,1,39.617068,-74.894782,76
frame0820_id0115_lat39.617074_lng-74.894774,820,115,24,1,39.617074,-74.894774,62
frame0890_id0118_lat39.617088_lng-74.894754,890,118,25,1,39.617088,-74.894754,211
frame0920_id0123_lat39.617094_lng-74.894745,920,123,26,1,39.617094,-74.894745,90
frame0990_id0126_lat39.617108_lng-74.894725,990,126,27,1,39.617108,-74.894725,128
frame1020_id0143_lat39.617114_lng-74.894717,1020,143,28,1,39.617114,-74.894717,150
frame1080_id0146_lat39.617127_lng-74.894700,1080,146,29,1,39.617127,-74.8947,173
frame1120_id0153_lat39.617135_lng-74.894688,1120,153,30,1,39.617135,-74.894688,130
frame1150_id0159_lat39.617141_lng-74.894679,1150,159,31,1,39.617141,-74.894679,396
frame1270_id0175_lat39.617166_lng-74.894644,1270,175,32,1,39.617166,-74.894644,38
frame1310_id0160_lat39.617174_lng-74.894633,1310,160,33,1,39.617174,-74.894633,243
frame1340_id0180_lat39.617180_lng-74.894624,1340,180,34,1,39.61718,-74.894624,70
frame1380_id0190_lat39.617188_lng-74.894614,1380,190,35,1,39.617188,-74.894614,113
frame1410_id0185_lat39.617195_lng-74.894605,1410,185,36,1,39.617195,-74.894605,303
frame1450_id0199_lat39.617203_lng-74.894592,1450,199,37,1,39.617203,-74.894592,310
frame1500_id0192_lat39.617213_lng-74.894578,1500,192,38,1,39.617213,-74.894578,78
