filename,frame,id,bushnumber,rownumber,latitude,longitude,flowercount
frame0030_id0020_lat39.616886_lng-74.895020,30,20,1,1,39.616886,-74.89502,830
frame0090_id0024_lat39.616898_lng-74.895004,90,24,2,1,39.616898,-74.895004,522
frame0220_id0021_lat39.616923_lng-74.894965,220,21,3,1,39.616923,-74.894965,672
frame0280_id0040_lat39.616936_lng-74.894948,280,40,4,1,39.616936,-74.894948,586
frame0310_id0046_lat39.616942_lng-74.894939,310,46,5,1,39.616942,-74.894939,640
frame0350_id0055_lat39.616951_lng-74.894928,350,55,6,1,39.616951,-74.894928,820
frame0380_id0059_lat39.616957_lng-74.894920,380,59,7,1,39.616957,-74.89492,381
frame0420_id0061_lat39.616965_lng-74.894909,420,61,8,1,39.616965,-74.894909,595
frame0470_id0074_lat39.616975_lng-74.894895,470,74,9,1,39.616975,-74.894895,720
frame0510_id0066_lat39.616984_lng-74.894883,510,66,10,1,39.616984,-74.894883,332
frame0570_id0073_lat39.616996_lng-74.894864,570,73,11,1,39.616996,-74.894864,536
frame0600_id0085_lat39.617003_lng-74.894856,600,85,12,1,39.617003,-74.894856,528
frame0660_id0093_lat39.617015_lng-74.894840,660,93,13,1,39.617015,-74.89484,509
frame0770_id0111_lat39.617038_lng-74.894805,770,111,14,1,39.617038,-74.894805,1036
frame0880_id0123_lat39.617061_lng-74.894774,880,123,15,1,39.617061,-74.894774,1125
frame0920_id0125_lat39.617069_lng-74.894763,920,125,16,1,39.617069,-74.894763,502
frame0950_id0128_lat39.617075_lng-74.894756,950,128,17,1,39.617075,-74.894756,107
frame0980_id0130_lat39.617081_lng-74.894746,980,130,18,1,39.617081,-74.894746,341
frame1000_id0135_lat39.617085_lng-74.894740,1000,135,19,1,39.617085,-74.89474,390
frame1040_id0137_lat39.617093_lng-74.894729,1040,137,20,1,39.617093,-74.894729,445
frame1070_id0139_lat39.617099_lng-74.894720,1070,139,21,1,39.617099,-74.89472,788
frame1110_id0144_lat39.617106_lng-74.894709,1110,144,22,1,39.617106,-74.894709,486
